"id","pais","tema","anio","texto"
32,"Nicaragua","seguridad",2019,"Los programas de justicia restaurativa han mostrado resultados prometedores en la reducción de la reincidencia."
33,"Nicaragua","seguridad",2022,"La corrupción policial sigue siendo un obstáculo para mejorar la seguridad ciudadana."
34,"Honduras","seguridad",2018,"Las cárceles están sobrepobladas y no cumplen su función de rehabilitación social."
35,"Argentina","seguridad",2019,"La extorsión a pequeños comerciantes es un problema creciente en las ciudades principales."
36,"Paraguay","seguridad",2021,"Los sistemas de emergencia y respuesta rápida han mejorado la atención a las víctimas de delitos."
37,"República Dominicana","salud",2023,"El sistema de salud pública ha sido fortalecido con nuevos hospitales y centros de atención primaria."
38,"Costa Rica","salud",2024,"La pandemia expuso las graves deficiencias del sistema sanitario en toda la región."
39,"Perú","salud",2023,"Los programas de vacunación han alcanzado coberturas históricas gracias a la coordinación internacional."
40,"Guatemala","salud",2019,"La desigualdad en el acceso a servicios de salud entre zonas urbanas y rurales es alarmante."
41,"Guatemala","salud",2021,"El gasto de bolsillo en salud empuja a millones de familias a la pobreza cada año."
42,"Guatemala","salud",2019,"La telemedicina ha emergido como una herramienta valiosa para llegar a comunidades remotas."
43,"Brasil","salud",2024,"Las enfermedades crónicas no transmisibles representan una carga creciente para los sistemas de salud."
44,"Venezuela","salud",2022,"La salud mental sigue siendo un tema desatendido en las políticas públicas de la región."
45,"México","salud",2018,"Los trabajadores de salud enfrentan condiciones precarias y salarios insuficientes."
46,"Uruguay","salud",2019,"La investigación biomédica en la región necesita mayor financiamiento y cooperación internacional."
47,"Brasil","salud",2024,"Los programas de salud materno-infantil han reducido significativamente la mortalidad neonatal."
48,"Colombia","salud",2018,"El acceso a medicamentos esenciales sigue siendo un desafío para las poblaciones más vulnerables."
49,"Bolivia","medioambiente",2019,"La deforestación en la Amazonia ha alcanzado niveles récord amenazando la biodiversidad global."
50,"Bolivia","medioambiente",2022,"Las energías renovables representan una oportunidad de desarrollo sostenible para la región."
51,"Argentina","medioambiente",2024,"Los incendios forestales han devastado miles de hectáreas de bosque nativo en los últimos años."
52,"México","medioambiente",2021,"La contaminación del agua afecta a comunidades rurales que dependen de fuentes naturales."
53,"Costa Rica","medioambiente",2019,"Los países de la región han asumido compromisos ambiciosos en la lucha contra el cambio climático."
54,"Costa Rica","medioambiente",2024,"La minería ilegal destruye ecosistemas frágiles y amenaza la salud de las comunidades locales."
55,"Guatemala","medioambiente",2018,"Los humedales y manglares están desapareciendo a un ritmo alarmante en toda la costa."
56,"Argentina","medioambiente",2024,"La transición energética requiere inversiones significativas en infraestructura y capacitación."
57,"Brasil","medioambiente",2023,"La agricultura sostenible puede reducir las emisiones de carbono sin sacrificar la productividad."
58,"Ecuador","medioambiente",2018,"Las comunidades indígenas son guardianes esenciales de la biodiversidad en la región."
59,"El Salvador","medioambiente",2024,"La gestión de residuos sólidos es deficiente en la mayoría de las ciudades latinoamericanas."
60,"Paraguay","medioambiente",2023,"Los eventos climáticos extremos son cada vez más frecuentes y afectan desproporcionadamente a los más pobres."
